month,latitude,longitude,msqto_log,tmax,tmin,tavg,delta,dewpt,wetbulb,heat_log,cool,sunrise,sunset_log,precip_log,pressure,sealvlpressure,windspeed,winddirection,avgspeed,spray_targeted_prev,spray_targeted,species_culex_pipiens,species_culex_pipiens_restuans,species_culex_restuans,species_culex_salinarius,species_culex_tarsalis,species_culex_territans
6.0,41.991429,-87.747113,2.3979861777572986,86,65,76.0,6.0,67.0,69.0,-6.907755278982137,11.0,4.266666666666667,-4.036075654098179,1.3790179521491144,28.97,29.7,7.2,18.0,11.6,0,False,0,1,0,0,0,0
8.0,41.678618,-87.559308,2.944491609360395,84,72,78.0,5.0,71.0,73.0,-6.907755278982137,13.0,4.883333333333334,-0.7249819040799692,-2.975929646257811,29.13,29.84,2.5,29.0,6.0,0,False,0,0,0,0,0,1
9.0,41.948167,-87.730698,2.833272165855592,84,58,71.0,7.0,55.0,61.0,-6.907755278982137,6.0,5.5,0.36070016518835296,-6.907755278982137,29.34,30.07,0.1,33.0,2.1,0,False,0,1,0,0,0,0
8.0,41.702724,-87.536497,0.0009995003330834232,80,71,76.0,4.0,67.0,70.0,-6.907755278982137,11.0,4.983333333333333,-0.4818063413648862,-1.4653375684603434,29.17,29.89,3.4,7.0,5.8,0,False,0,0,0,1,0,0
9.0,41.964242,-87.757639,1.09894556645823,84,69,77.0,14.0,68.0,70.0,-6.907755278982137,12.0,5.6,0.4706284340145762,-0.17316361900918903,29.14,29.87,8.3,16.0,10.6,1,False,0,1,0,0,0,0
8.0,41.754676,-87.612922,0.0009995003330834232,83,69,76.0,3.0,68.0,71.0,-6.907755278982137,11.0,4.816666666666666,-0.9137938516755714,-6.907755278982137,29.21,29.93,4.0,5.0,5.5,0,False,1,0,0,0,0,0
7.0,41.994469,-87.667736,0.0009995003330834232,79,53,66.0,-6.0,50.0,58.0,-6.907755278982137,1.0,4.333333333333333,-6.907755278982137,-6.907755278982137,29.49,30.22,5.9,14.0,8.1,0,False,0,1,0,0,0,0
9.0,41.95469,-87.800991,3.970310781298653,86,57,72.0,5.0,58.0,64.0,-6.907755278982137,7.0,5.366666666666666,0.18315454309784582,-6.907755278982137,29.38,30.11,4.7,20.0,6.0,1,False,0,1,0,0,0,0
9.0,41.960616,-87.777189,1.6096378924367667,84,58,71.0,7.0,55.0,61.0,-6.907755278982137,6.0,5.5,0.36070016518835296,-6.907755278982137,29.34,30.07,0.1,33.0,2.1,0,False,0,1,0,0,0,0
7.0,41.912563,-87.668055,4.077554392914626,96,71,84.0,10.0,70.0,75.0,-6.907755278982137,19.0,4.55,-2.0074310057035674,-0.5430045221302259,29.1,29.83,13.3,25.0,14.0,1,False,0,1,0,0,0,0
9.0,41.778297,-87.752411,0.0009995003330834232,62,48,55.0,-6.0,44.0,49.0,2.3026850879943788,0.0,5.666666666666667,0.5409667806779765,-6.907755278982137,29.33,30.06,5.9,36.0,7.0,0,False,0,0,1,0,0,0
7.0,41.673408,-87.599862,1.09894556645823,70,57,64.0,-10.0,51.0,56.0,0.0009995003330834232,0.0,4.516666666666667,-2.292634762140899,-6.907755278982137,29.15,29.87,10.6,30.0,10.8,0,False,0,1,0,0,0,0
7.0,41.776428,-87.627096,3.434019462029382,96,71,84.0,10.0,70.0,75.0,-6.907755278982137,19.0,4.55,-2.0074310057035674,-0.5430045221302259,29.1,29.83,13.3,25.0,14.0,1,False,0,0,1,0,0,0
7.0,41.963976,-87.69181,3.434019462029382,70,57,64.0,-10.0,51.0,56.0,0.0009995003330834232,0.0,4.516666666666667,-2.292634762140899,-6.907755278982137,29.15,29.87,10.6,30.0,10.8,0,False,0,1,0,0,0,0
8.0,41.726465,-87.585413,3.7612233712371035,79,60,70.0,-2.0,54.0,61.0,-6.907755278982137,5.0,5.016666666666667,-0.40396623198443204,-6.907755278982137,29.41,30.1,5.9,32.0,6.8,0,False,1,0,0,0,0,0
9.0,41.903002,-87.688267,3.85016887807946,92,76,84.0,16.0,69.0,74.0,-6.907755278982137,19.0,5.3,0.08096535882310352,-6.907755278982137,29.18,29.89,4.9,22.0,7.4,0,False,0,1,0,0,0,0
6.0,41.868142,-87.696269,1.3865443298750981,86,69,78.0,7.0,60.0,67.0,-6.907755278982137,13.0,4.3,-6.907755278982137,-6.907755278982137,29.2,29.85,6.4,4.0,8.2,0,False,0,0,1,0,0,0
7.0,41.986921,-87.689778,1.7919261220073759,81,58,70.0,-4.0,54.0,61.0,-6.907755278982137,5.0,4.733333333333333,-1.200645014233259,-6.907755278982137,29.23,29.94,6.2,26.0,7.3,0,False,0,1,0,0,0,0
8.0,41.904194,-87.756155,1.6096378924367667,83,59,71.0,1.0,58.0,63.0,-6.907755278982137,6.0,5.183333333333334,-0.10425002137380071,-6.907755278982137,29.26,29.98,1.9,26.0,3.3,0,False,0,1,0,0,0,0
7.0,41.911824,-87.726737,1.3865443298750981,88,71,80.0,7.0,71.0,74.0,-6.907755278982137,15.0,4.433333333333334,-2.9759296462577973,-0.9390477189967712,29.12,29.82,5.5,25.0,8.5,0,False,0,1,0,0,0,0
5.0,41.673408,-87.599862,0.0009995003330834232,62,54,58.0,-5.0,51.0,54.0,1.9460529959950605,0.0,4.35,-1.3823023398503531,-6.907755278982137,29.06,29.76,6.8,30.0,8.1,0,False,1,0,0,0,0,0
7.0,41.981964,-87.812827,0.0009995003330834232,83,70,77.0,3.0,68.0,70.0,-6.907755278982137,12.0,4.666666666666667,-1.4510106758395929,-1.7660917224794772,29.11,29.82,3.0,3.0,7.9,0,False,0,1,0,0,0,0
10.0,41.970248,-87.787992,2.944491609360395,82,51,67.0,10.0,56.0,61.0,-6.907755278982137,2.0,5.866666666666666,0.7101681648942473,-6.907755278982137,29.34,30.04,3.9,17.0,4.6,0,False,1,0,0,0,0,0
